"tiempo_diario","informado_prom","confianza_prom"
2,2.6666666666666667,2.3333333333333333
3,2.4285714285714286,2.3571428571428571
4,2.5492957746478873,2.3098591549295775
7,2.4395604395604396,2.2747252747252747
9,2.5810810810810811,2.3513513513513514
